曾有確診或疑似2019冠狀病毒病個案的大廈名單 
曾有確診或疑似個案居住過的住宅大廈名單 
(註: 大廈會在報告日期起計保留在名單內 14天。) 
 
地區 大廈名單 相關確診/疑似個案編號 
黃大仙 慈樂邨樂祥樓 1779 
九龍城 何文田邨綺文樓 1780 
觀塘 康柏苑龍柏閣 1781 
油尖旺 創德樓 1783 
沙田 頌安邨頌群樓 1784 
沙田 禾輋邨富和樓 1785 
黃大仙 慈愛苑愛寧閣 1786 
觀塘 牛頭角樂華(南)邨敏華樓 1787 
觀塘 彩福邨彩善樓 1792 
元朗 天恩邨恩穗樓 1795 
屯門 蝴蝶邨蝶聚樓  1797 
黃大仙 慈樂邨樂仁樓 1798 
油尖旺 月圓大廈 1799 
觀塘 觀塘花園大廈燕子樓 1802 
黃大仙 彩虹邨錦雲樓 1804 
觀塘 德田邨德盛樓 1805 
大埔 大埔中心一期1座 1806 
沙田 美松苑盛松閣 1807 
九龍城 德朗邨德璋樓 1808 
觀塘 啟業邨啟樂樓 1809 
油尖旺 香港喜來登酒店 1811 
西貢 馬游塘 1812 
深水埗 石硤尾邨美笙樓 1813 
葵青 綠悠雅苑第2座 1814 
葵青 綠悠雅苑第2座 1815 
深水埗 蘇屋邨荷花樓 1817 
葵青 石籬二邨石祥樓 1818 
黃大仙 慈正邨正安樓 1819 
油尖旺 廣東道959-973號廣興大廈 1820 
1 
 
地區 大廈名單 相關確診/疑似個案編號 
黃大仙 慈正邨正遠樓 1832 
油尖旺 廣東道847-865號 永發大廈 1833 
黃大仙 彩虹邨金碧樓 1834 
黃大仙 萬寶大廈 1835 
觀塘 啟業邨啟祥樓 1836 
油尖旺 梳士巴利道香港基督教青年會 1837 
灣仔 灣仔帝盛酒店 1837 
西貢 富寧花園4座 1838 
屯門 小欖村22號 1839 
黃大仙 慈樂邨樂天樓 1841 
黃大仙 翠竹花園2座 1842 
黃大仙 萬寶大廈 1843 
黃大仙 萬寶大廈 1844 
沙田 隆亨邨賞心樓 1845 
黃大仙 慈正邨正遠樓 1846 
沙田 錦鞍苑銀鞍閣 1847 
南區 石排灣邨碧月樓 1848 
灣仔 光明臺1座 1849 
葵青 麗瑤邨富瑤樓 1850 
觀塘 樂華北邨立華樓 1853 
觀塘 坪石邨黃石樓 1854 
深水埗 蘇屋邨百合樓 1855 
觀塘 德福花園D座 1856 
元朗 元朗安寧路順興樓 1857 
屯門 青山公路新墟段 199號好勝大廈 1858 
荃灣 愉景新城8座 1859 
油尖旺 文耀樓後座 1860 
西貢 日出康城3期緻藍天5座 1861 
黃大仙 慈愛苑愛慧閣 1862 
觀塘 秀茂坪邨秀程樓 1863 
黃大仙 慈正邨正明樓 1864 
觀塘 秀茂坪邨秀程樓 1865 
黃大仙 星河明居C座 1866 
離島 滿東邨滿和樓 1867 
2 
 
地區 大廈名單 相關確診/疑似個案編號 
黃大仙 鳳德邨硃鳳樓 1868 
黃大仙 坪石邨翠石樓 1869 
東區 富澤花園富邦閣 1870 
觀塘 安泰邨智泰樓 1871 
東區 樂軒臺5座 1872 
東區 富澤花園富邦閣 1873 
觀塘 順天邨天柱樓 1875 
葵青 長青邨青松樓 1876 
觀塘 安達邨善達樓 1877 
東區 小西灣邨瑞明樓 1878 
元朗 鳳池村 1879 
黃大仙 慈愛苑愛仁閣 1880 
深水埗 石硤尾邨24座 1881 
離島 滿東邨滿和樓 1882 
大埔 帝欣苑30座 1883 
黃大仙 翠竹花園2座 1884 
北區 旭埔苑清湖閣 1887 
中西區 僑發大廈 1888 
中西區 翰林軒1座 1889 
元朗 屏欣苑屏彥閣 1890 
元朗 新時代廣場8座 1891 
荃灣 荃威花園E座 1892 
荃灣 荃威花園E座 1893 
屯門 海慧花園1座 1894 
荃灣 荃威花園E座 1895 
黃大仙 慈樂邨樂旺樓 1896 
觀塘 秀茂坪邨秀裕樓 1897 
西貢 都會駅5座 1898 
黃大仙 橫頭磡邨宏安樓 1899 
黃大仙 橫頭磡邨宏安樓 1900 
西貢 寶林邨寶德樓 1902 
觀塘 坪石邨翠石樓 1903 
觀塘 坪石邨藍石樓 1904 
觀塘 金龍園 1905 
3 
 
地區 大廈名單 相關確診/疑似個案編號 
沙田 錦豐苑錦萱閣 1906 
屯門 兆麟苑瑞麟閣 1907 
南區 田灣邨田麗樓 1908 
沙田 碧濤花園3期1座 1909 
油尖旺 香港喜來登酒店 1910 
西貢 富寧花園4座 1912 
葵青 荃灣帝盛酒店 1913 
離島 富豪機場酒店 1914 
黃大仙 慈樂邨樂祥樓 1916 
黃大仙 慈樂邨樂祥樓 1917 
九龍城 德豐樓 1918 
大埔 大埔中心1期1座 1919 
沙田 富嘉花園2座 1920 
觀塘 油麗邨雍麗樓 1921 
東區 城市花園8座 1922 
灣仔 金都洋樓 1923 
九龍城 福運大廈 1924 
油尖旺 中原樓 1925 
深水埗 海麗邨海慧樓 1926 
深水埗 偉業樓 1927 
深水埗 海麗邨海智樓 1928 
油尖旺 廣東道967號廣興大廈 1929 
黃大仙 海港花園3座 1930 
屯門 友愛邨愛義樓 1931 
沙田 利安邨利興樓 1932 
灣仔 金都洋樓 1933 
黃大仙 萬寶大廈 1934 
黃大仙 萬寶大廈 1935 
黃大仙 慈樂邨樂仁樓 1936 
深水埗 海麗邨海慧樓 1937 
黃大仙 竹園南邨貴園樓 1939 
黃大仙 彩雲(二)邨豐澤樓 1940 
深水埗 元安大廈 1941 
九龍城 愛民邨信民樓 1942 
4 
 
地區 大廈名單 相關確診/疑似個案編號 
南區 石排灣邨碧園樓 1943 
黃大仙 黃大仙下邨龍光樓 1944 
元朗 天頌苑頌波閣 1945 
北區 旭埔苑清湖閣 1946 
北區 彩園邨彩湖樓 1947 
沙田 美田邨美滿樓 1948 
西貢 景林邨景桃樓 1949 
深水埗 丰匯1座 1950 
沙田 欣安邨欣喜樓 1951 
東區 峻峰花園B座 1952 
元朗 俊宏軒4座 1953 
黃大仙 慈愛苑愛慧閣 1954 
黃大仙 慈樂邨樂誠樓 1955 
黃大仙 鳳德邨硃鳳樓 1956 
黃大仙 慈安苑安欣閣 1958 
黃大仙 慈樂邨樂祥樓 1959 
葵青 荃灣帝盛酒店 1961 
觀塘 彩德邨彩誠樓 1962 
黃大仙 慈安苑安欣閣 1963 
黃大仙 鳳德邨碧鳳樓 1964 
九龍城 家維邨家邦樓 1965 
觀塘 藍田邨藍蔚樓 1966 
觀塘 油麗邨康麗樓 1967 
九龍城 黃埔花園棕櫚苑1座 1968 
觀塘 康盈苑 1969 
黃大仙 采頤花園7座 1970 
大埔 廣褔邨廣祐樓 1971 
觀塘 秀茂坪邨秀景樓 1972 
觀塘 油塘邨貴塘樓 1973 
南區 石排灣邨碧園樓 1974 
北區 古洞燕崗村 1975 
觀塘 藍田邨藍暉樓 1976 
東區 小西灣邨瑞明樓 1977 
沙田 美城苑暉城閣 1978 
5 
 
地區 大廈名單 相關確診/疑似個案編號 
沙田 錦豐苑錦萱閣 1979 
黃大仙 彩虹邨錦雲樓 1980 
西貢 將軍澳村 1981 
西貢 馬游塘村 1982 
西貢 厚德邨德志樓 1983 
油尖旺 廣東道967號廣興大廈 1984 
油尖旺 廣東道967號廣興大廈 1985 
東區 小西灣邨瑞明樓 1987 
東區 峻峰花園B座 1988 
北區 新屋嶺村 1989 
西貢 日出康城首都1期5座 1990 
西貢 明德邨明覺樓 1991 
葵青 長亨邨亨俊樓 1992 
東區 太安樓 1993 
離島 滿東邨滿和樓 1994 
離島 滿東邨滿和樓 1995 
黃大仙 慈民邨民裕樓 1996 
深水埗 南邦樓 1997 
東區 峻峰花園B座 1998 
大埔 運頭塘邨運來樓 1999 
大埔 西澳村 2000 
油尖旺 創德樓 2002 
元朗 天盛苑盛彩閣 2003 
觀塘 彩德邨彩仁樓 2004 
屯門 山景邨景樂樓 2005 
黃大仙 鳳德邨硃鳳樓 2006 
黃大仙 慈民邨民健樓 2007 
黃大仙 橫頭磡邨宏基樓 2008 
黃大仙 彩虹邨翠瓊樓 2009 
黃大仙 啟德花園1座 2010 
觀塘 順天邨天柱樓 2011 
沙田 瀝源邨榮瑞樓 2012 
